Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype/variation,developmental stage,GEO Accession
SRR3720858,23199812,1183190412,51,562,SRX1878978,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526224,SAMN05293662,simple,7227,Drosophila melanogaster,GSM2214150,GEO,SRA435946,08,2016,Lim,oocyte,RNA-seq WT immature oocyte (biological replicate #1),oocyte,oocyte,w1118,oogenesis stage 9-10,GSM2214150
SRR3720859,22134897,1128879747,51,537,SRX1878979,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526225,SAMN05293663,simple,7227,Drosophila melanogaster,GSM2214151,GEO,SRA435946,08,2016,Lim,oocyte,RNA-seq WT mature oocyte (biological replicate #1),oocyte,oocyte,w1118,oogenesis stage 14,GSM2214151
SRR3720860,24546443,1251868593,51,596,SRX1878980,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526226,SAMN05293664,simple,7227,Drosophila melanogaster,GSM2214152,GEO,SRA435946,08,2016,Lim,egg,RNA-seq WT activated egg (biological replicate #1),egg,egg,w1118,activated egg 0-1hr,GSM2214152
SRR3720861,22116829,1127958279,51,537,SRX1878981,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526227,SAMN05293665,simple,7227,Drosophila melanogaster,GSM2214153,GEO,SRA435946,08,2016,Lim,oocyte,RNA-seq wisp immature oocyte (biological replicate #1),oocyte,oocyte,wispKG5287 (wispy knockout),oogenesis stage 9-10,GSM2214153
SRR3720862,22432453,1144055103,51,546,SRX1878982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526228,SAMN05293666,simple,7227,Drosophila melanogaster,GSM2214154,GEO,SRA435946,08,2016,Lim,oocyte,RNA-seq wisp mature oocyte (biological replicate #1),oocyte,oocyte,wispKG5287 (wispy knockout),oogenesis stage 14,GSM2214154
SRR3720863,28383998,1447583898,51,686,SRX1878983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526229,SAMN05293667,simple,7227,Drosophila melanogaster,GSM2214155,GEO,SRA435946,08,2016,Lim,egg,RNA-seq wisp activated egg (biological replicate #1),egg,egg,wispKG5287 (wispy knockout),activated egg 0-1hr,GSM2214155
SRR3720864,16682353,850800003,51,399,SRX1878984,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526230,SAMN05293668,simple,7227,Drosophila melanogaster,GSM2214156,GEO,SRA435946,08,2016,Lim,oocyte,RNA-seq WT immature oocyte (biological replicate #2),oocyte,oocyte,w1118,oogenesis stage 9-10,GSM2214156
SRR3720865,19668236,1003080036,51,468,SRX1878985,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526231,SAMN05293669,simple,7227,Drosophila melanogaster,GSM2214157,GEO,SRA435946,08,2016,Lim,oocyte,RNA-seq WT mature oocyte (biological replicate #2),oocyte,oocyte,w1118,oogenesis stage 14,GSM2214157
SRR3720866,18206325,928522575,51,431,SRX1878986,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526232,SAMN05293670,simple,7227,Drosophila melanogaster,GSM2214158,GEO,SRA435946,08,2016,Lim,egg,RNA-seq WT activated egg (biological replicate #2),egg,egg,w1118,activated egg 0-1hr,GSM2214158
SRR3720867,18636046,950438346,51,453,SRX1878987,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526233,SAMN05293671,simple,7227,Drosophila melanogaster,GSM2214159,GEO,SRA435946,08,2016,Lim,oocyte,RNA-seq wisp immature oocyte (biological replicate #2),oocyte,oocyte,wispKG5287 (wispy knockout),oogenesis stage 9-10,GSM2214159
SRR3720868,20771535,1059348285,51,491,SRX1878988,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526234,SAMN05293672,simple,7227,Drosophila melanogaster,GSM2214160,GEO,SRA435946,08,2016,Lim,oocyte,RNA-seq wisp mature oocyte (biological replicate #2),oocyte,oocyte,wispKG5287 (wispy knockout),oogenesis stage 14,GSM2214160
SRR3720869,19275412,983046012,51,459,SRX1878989,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP077235,PRJNA326885,27445395,"",SRS1526235,SAMN05293673,simple,7227,Drosophila melanogaster,GSM2214161,GEO,SRA435946,08,2016,Lim,egg,RNA-seq wisp activated egg (biological replicate #2),egg,egg,wispKG5287 (wispy knockout),activated egg 0-1hr,GSM2214161
