Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,GEO Accession
SRR12804082,74400850,1923262117,25,865,SRX9272870,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501732,SAMN16407460,simple,4932,Saccharomyces cerevisiae,GSM4826740,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,WT_input_rep1,Ribosomes from yeast cells,W303-1a (ATCC: 208352),wild type expressing 18S: WT plasmid,GSM4826740
SRR12804083,80741846,2144146084,26,955,SRX9272871,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501735,SAMN16407459,simple,4932,Saccharomyces cerevisiae,GSM4826741,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,WT_input_rep2,Ribosomes from yeast cells,W303-1a (ATCC: 208352),wild type expressing 18S: WT plasmid,GSM4826741
SRR12804084,83980706,2141478507,25,967,SRX9272872,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501734,SAMN16407458,simple,4932,Saccharomyces cerevisiae,GSM4826742,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,mutant_input_rep1,Ribosomes from yeast cells,W303-1a (ATCC: 208352),wild type expressing 18S: A1492C plasmid,GSM4826742
SRR12804085,76398423,1924058618,25,872,SRX9272873,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501736,SAMN16407457,simple,4932,Saccharomyces cerevisiae,GSM4826743,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,mutant_input_rep2,Ribosomes from yeast cells,W303-1a (ATCC: 208352),wild type expressing 18S: A1492C plasmid,GSM4826743
SRR12804086,49832189,1103648202,22,486,SRX9272874,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501737,SAMN16407456,simple,4932,Saccharomyces cerevisiae,GSM4826744,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,WT_purified_rep1,Ribosomes from yeast cells,W303-1a (ATCC: 208352),wild type expressing 18S: WT plasmid,GSM4826744
SRR12804087,65343433,1460793151,22,645,SRX9272875,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501738,SAMN16407455,simple,4932,Saccharomyces cerevisiae,GSM4826745,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,WT_purified_rep2,Ribosomes from yeast cells,W303-1a (ATCC: 208352),wild type expressing 18S: WT plasmid,GSM4826745
SRR12804088,74354369,1637026707,22,723,SRX9272876,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501739,SAMN16407486,simple,4932,Saccharomyces cerevisiae,GSM4826746,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,mutant_purified_rep1,Ribosomes from yeast cells,W303-1a (ATCC: 208352),wild type expressing 18S: A1492C plasmid,GSM4826746
SRR12804089,66137007,1462850536,22,654,SRX9272877,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501740,SAMN16407485,simple,4932,Saccharomyces cerevisiae,GSM4826747,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,mutant_purified_rep2,Ribosomes from yeast cells,W303-1a (ATCC: 208352),wild type expressing 18S: A1492C plasmid,GSM4826747
SRR12804090,86974615,1977023194,22,874,SRX9272878,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501741,SAMN16407484,simple,4932,Saccharomyces cerevisiae,GSM4826748,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,Mag2_input_rep1,Ribosomes from yeast cells,W303-1a (ATCC: 208352),MAG2-FLAG-TEV-ProteinA,GSM4826748
SRR12804091,74281612,1695608865,22,753,SRX9272879,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286916,PRJNA668372,36113412,"",SRS7501742,SAMN16407483,simple,4932,Saccharomyces cerevisiae,GSM4826749,GEO,SRA1141059,11,2022,Li,Ribosomes from yeast cells,Mag2_input_rep2,Ribosomes from yeast cells,W303-1a (ATCC: 208352),MAG2-FLAG-TEV-ProteinA,GSM4826749
