Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,molecule subtype,tissue,strain,plasmid,genotype/variation,GEO Accession
SRR7241910,27002674,1350133700,50,628,SRX4147683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361275,SAMN09288723,simple,9606,Homo sapiens,GSM3168387,GEO,SRA713167,01,2019,Tesina,MDA-MB-231 ribosome profiling,MDA-MB-231 ribosome profiling,MDA-MB-231 ribosome profiling,MDA-MB-231,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168387
SRR7241911,76408239,3820411950,50,1663,SRX4147684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361274,SAMN09288722,simple,6239,Caenorhabditis elegans,GSM3168388,GEO,SRA713167,01,2019,Tesina,C. elegans embryos ribosome profiling,C. elegans embryos ribosome profiling,C. elegans embryos ribosome profiling,,Ribosome Protected mRNA (15-34 nt),embryos,,,,GSM3168388
SRR7241912,53902947,2695147350,50,1222,SRX4147685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361276,SAMN09288721,simple,9606,Homo sapiens,GSM3168389,GEO,SRA713167,01,2019,Tesina,HeLa ribosome profiling,HeLa ribosome profiling 1,HeLa ribosome profiling,HeLa,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168389
SRR7241913,45242293,2262114650,50,1199,SRX4147686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361277,SAMN09288720,simple,9606,Homo sapiens,GSM3168390,GEO,SRA713167,01,2019,Tesina,HeLa ribosome profiling,HeLa ribosome profiling 2,HeLa ribosome profiling,HeLa,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168390
SRR7241914,21159643,1057982150,50,494,SRX4147687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361278,SAMN09288719,simple,9606,Homo sapiens,GSM3168391,GEO,SRA713167,01,2019,Tesina,HeLa Gln starvation 6hr,HeLa Gln starvation 6hr,HeLa Gln starvation 6hr,HeLa,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168391
SRR7241915,21865700,1093285000,50,494,SRX4147688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361279,SAMN09288718,simple,9606,Homo sapiens,GSM3168392,GEO,SRA713167,01,2019,Tesina,HeLa Gln starvation 6hr CHXTIG,HeLa Gln starvation 6hr CHXTIG,HeLa Gln starvation 6hr CHXTIG,HeLa,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168392
SRR7241916,21297037,1064851850,50,554,SRX4147689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361280,SAMN09288717,simple,9606,Homo sapiens,GSM3168393,GEO,SRA713167,01,2019,Tesina,HeLa Gln starvation 9hr,HeLa Gln starvation 9hr,HeLa Gln starvation 9hr,HeLa,Ribosome Protected mRNA (15-34 nt),,,,,GSM3168393
SRR13091900,36981722,1849086100,50,949,SRX4147690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361281,SAMN09288716,simple,4932,Saccharomyces cerevisiae,GSM3168394,GEO,SRA713167,11,2020,Tesina,gamma toxin CHX profiling,gamma toxin CHX profiling,gamma toxin CHX profiling,,Ribosome Protected mRNA (15-34 nt),,yCW66,None,,GSM3168395
SRR7241918,22738671,1136933550,50,612,SRX4147691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361282,SAMN09288715,simple,4932,Saccharomyces cerevisiae,GSM3168395,GEO,SRA713167,01,2019,Tesina,3-AT CHXTIG profiling,3-AT CHXTIG profiling,3-AT CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),,yCW19,,,GSM3168396
SRR7241919,25969815,1298490750,50,640,SRX4147692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361283,SAMN09288714,simple,4932,Saccharomyces cerevisiae,GSM3168396,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXTIG profiling,Wild-Type CHXTIG profiling 1,Wild-Type CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168397
SRR7241920,18564891,928244550,50,464,SRX4147693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361285,SAMN09288713,simple,4932,Saccharomyces cerevisiae,GSM3168397,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXTIG profiling,Wild-Type CHXTIG profiling 2,Wild-Type CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168399
SRR7241922,26131471,1306573550,50,705,SRX4147695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361286,SAMN09288711,simple,4932,Saccharomyces cerevisiae,GSM3168399,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXANS profiling,Wild-Type CHXANS profiling 1,Wild-Type CHXANS profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168400
