Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,Sex,exposed to,tissue,GEO Accession
SRR1282282,4752543,950508600,100,531,SRX539694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604802,SAMN02768232,simple,8032,Salmo trutta,GSM1383686,GEO,SRA163246,05,2015,Uren,1.9 ng E2_liver,LE1,1.9 ng E2_liver,adult,male,1.9 ng/L E2 for 4 days,liver,GSM1383686
SRR1282283,5152665,1030533000,100,572,SRX539695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604803,SAMN02768234,simple,8032,Salmo trutta,GSM1383687,GEO,SRA163246,05,2015,Uren,1.9 ng E2_liver,LE2,1.9 ng E2_liver,adult,male,1.9 ng/L E2 for 4 days,liver,GSM1383687
SRR1282284,3844743,768948600,100,428,SRX539696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604804,SAMN02768230,simple,8032,Salmo trutta,GSM1383688,GEO,SRA163246,05,2015,Uren,1.9 ng E2_liver,LE3,1.9 ng E2_liver,adult,male,1.9 ng/L E2 for 4 days,liver,GSM1383688
SRR1282285,5254027,1050805400,100,584,SRX539697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604805,SAMN02768237,simple,8032,Salmo trutta,GSM1383689,GEO,SRA163246,05,2015,Uren,18.1 ng E2_liver,ME1,18.1 ng E2_liver,adult,male,18.1 ng/L E2 for 4 days,liver,GSM1383689
SRR1282286,4571900,914380000,100,508,SRX539698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604807,SAMN02768229,simple,8032,Salmo trutta,GSM1383690,GEO,SRA163246,05,2015,Uren,18.1 ng E2_liver,ME2,18.1 ng E2_liver,adult,male,18.1 ng/L E2 for 4 days,liver,GSM1383690
SRR1282287,5738185,1147637000,100,640,SRX539699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604806,SAMN02768236,simple,8032,Salmo trutta,GSM1383691,GEO,SRA163246,05,2015,Uren,18.1 ng E2_liver,ME3,18.1 ng E2_liver,adult,male,18.1 ng/L E2 for 4 days,liver,GSM1383691
SRR1282288,4751946,950389200,100,527,SRX539700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604808,SAMN02768235,simple,8032,Salmo trutta,GSM1383692,GEO,SRA163246,05,2015,Uren,34.4 ng E2_liver,HE1,34.4 ng E2_liver,adult,male,34.4 ng/L E2 for 4 days,liver,GSM1383692
SRR1282289,4797293,959458600,100,531,SRX539701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604809,SAMN02768231,simple,8032,Salmo trutta,GSM1383693,GEO,SRA163246,05,2015,Uren,34.4 ng E2_liver,HE2,34.4 ng E2_liver,adult,male,34.4 ng/L E2 for 4 days,liver,GSM1383693
SRR1282290,4834836,966967200,100,542,SRX539702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604810,SAMN02768226,simple,8032,Salmo trutta,GSM1383694,GEO,SRA163246,05,2015,Uren,34.4 ng E2_liver,HE3,34.4 ng E2_liver,adult,male,34.4 ng/L E2 for 4 days,liver,GSM1383694
SRR1282291,5997393,1199478600,100,668,SRX539703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604814,SAMN02768233,simple,8032,Salmo trutta,GSM1383695,GEO,SRA163246,05,2015,Uren,1.7 ug linuron_liver,LL1,1.7 ug linuron_liver,adult,male,1.7µg/L linuron for 4 days,liver,GSM1383695
