Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,temperature,molecule type,GEO Accession
SRR1822445,51766593,2588329650,50,1515,SRX894007,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861477,SAMN03381341,simple,4932,Saccharomyces cerevisiae,GSM1621988,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_wild-type DED1 replicate 1_15 deg,Whole cells,15 deg,Ribosome-protected RNA,GSM1621988
SRR1822446,69018133,3450906650,50,2170,SRX894008,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861476,SAMN03381336,simple,4932,Saccharomyces cerevisiae,GSM1621989,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_wild-type DED1 replicate 2_15 deg,Whole cells,15 deg,Ribosome-protected RNA,GSM1621989
SRR1822447,59666579,2983328950,50,1765,SRX894009,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861475,SAMN03381342,simple,4932,Saccharomyces cerevisiae,GSM1621990,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_ded1-cs replicate 1_15 deg,Whole cells,15 deg,Ribosome-protected RNA,GSM1621990
SRR1822448,73184558,3659227900,50,2303,SRX894010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861474,SAMN03381348,simple,4932,Saccharomyces cerevisiae,GSM1621991,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_ded1-cs replicate 2_15 deg,Whole cells,15 deg,Ribosome-protected RNA,GSM1621991
SRR1822449,17358061,867903050,50,519,SRX894011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861472,SAMN03381334,simple,4932,Saccharomyces cerevisiae,GSM1621992,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_wild-type DED1 replicate 1_15 deg,Whole cells,15 deg,mRNA,GSM1621992
SRR1822450,25097163,1254858150,50,813,SRX894012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861473,SAMN03381356,simple,4932,Saccharomyces cerevisiae,GSM1621993,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_wild-type DED1 replicate 2_15 deg,Whole cells,15 deg,mRNA,GSM1621993
SRR1822451,17860750,893037500,50,542,SRX894013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861470,SAMN03381352,simple,4932,Saccharomyces cerevisiae,GSM1621994,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_ded1-cs replicate 1_15 deg,Whole cells,15 deg,mRNA,GSM1621994
SRR1822452,25753938,1287696900,50,845,SRX894014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861471,SAMN03381327,simple,4932,Saccharomyces cerevisiae,GSM1621995,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_ded1-cs replicate 2_15 deg,Whole cells,15 deg,mRNA,GSM1621995
SRR1822453,23126999,1156349950,50,718,SRX894015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055707,PRJNA276827,26122911,"",SRS861469,SAMN03381338,simple,4932,Saccharomyces cerevisiae,GSM1621996,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_wild-type DED1 replicate 1_37 deg,Whole cells,37 deg,Ribosome-protected RNA,GSM1621996
SRR1822454,25501426,1275071300,50,787,SRX894016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055707,PRJNA276827,26122911,"",SRS861468,SAMN03381350,simple,4932,Saccharomyces cerevisiae,GSM1621997,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_wild-type DED1 replicate 2_37 deg,Whole cells,37 deg,Ribosome-protected RNA,GSM1621997
SRR1822455,24301498,1215074900,50,770,SRX894017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055707,PRJNA276827,26122911,"",SRS861467,SAMN03381333,simple,4932,Saccharomyces cerevisiae,GSM1621998,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_ded1-ts replicate 1_37 deg,Whole cells,37 deg,Ribosome-protected RNA,GSM1621998
SRR1822456,22972999,1148649950,50,720,SRX894018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055707,PRJNA276827,26122911,"",SRS861466,SAMN03381337,simple,4932,Saccharomyces cerevisiae,GSM1621999,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_ded1-ts replicate 2_37 deg,Whole cells,37 deg,Ribosome-protected RNA,GSM1621999
SRR1822457,31850355,1592517750,50,1011,SRX894019,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055707,PRJNA276827,26122911,"",SRS861465,SAMN03381351,simple,4932,Saccharomyces cerevisiae,GSM1622000,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_wild-type DED1 replicate 1_37 deg,Whole cells,37 deg,mRNA,GSM1622000
SRR1822458,32773634,1638681700,50,1035,SRX894020,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055707,PRJNA276827,26122911,"",SRS861463,SAMN03381329,simple,4932,Saccharomyces cerevisiae,GSM1622001,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_wild-type DED1 replicate 2_37 deg,Whole cells,37 deg,mRNA,GSM1622001
SRR1822459,14166709,708335450,50,452,SRX894021,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055707,PRJNA276827,26122911,"",SRS861464,SAMN03381328,simple,4932,Saccharomyces cerevisiae,GSM1622002,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_ded1-ts replicate 1_37 deg,Whole cells,37 deg,mRNA,GSM1622002
SRR1822460,17539116,876955800,50,557,SRX894022,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055707,PRJNA276827,26122911,"",SRS861462,SAMN03381339,simple,4932,Saccharomyces cerevisiae,GSM1622003,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_ded1-ts replicate 2_37 deg,Whole cells,37 deg,mRNA,GSM1622003
SRR1822461,28760133,1438006650,50,763,SRX894023,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861461,SAMN03381355,simple,4932,Saccharomyces cerevisiae,GSM1622004,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_wild-type TIF1 replicate 1_30 deg,Whole cells,30 deg,Ribosome-protected RNA,GSM1622004
