Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line/type,treatment,molecule subtype,GEO Accession
SRR14585397,81509002,12226350300,150,5276,SRX10932706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015495,SAMN19267584,simple,10090,Mus musculus,GSM5322366,GEO,SRA1234116,05,2021,Chen,MIN6 cell control mRNA-seq,MIN6 cell control mRNA-seq rep1,MIN6 cell control mRNA-seq,Insulinoma MIN6 cell,DMSO 18 hours,,GSM5322366
SRR14585398,82968357,12445253550,150,5390,SRX10932707,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015496,SAMN19267583,simple,10090,Mus musculus,GSM5322367,GEO,SRA1234116,05,2021,Chen,MIN6 cell control Ribo-seq,MIN6 cell control Ribo-seq rep1,MIN6 cell control Ribo-seq,Insulinoma MIN6 cell,DMSO 18 hours,Ribosome footprinting,GSM5322367
SRR14585399,70764859,10614728850,150,4530,SRX10932708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015497,SAMN19267582,simple,10090,Mus musculus,GSM5322368,GEO,SRA1234116,05,2021,Chen,MIN6 cell CPA1 mRNA-seq,MIN6 cell CPA1 mRNA-seq rep1,MIN6 cell CPA1 mRNA-seq,Insulinoma MIN6 cell,CPA 1 hour,,GSM5322368
SRR14585400,72715951,10907392650,150,4719,SRX10932709,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015498,SAMN19267581,simple,10090,Mus musculus,GSM5322369,GEO,SRA1234116,05,2021,Chen,MIN6 cell CPA1 Ribo-seq,MIN6 cell CPA1 Ribo-seq rep1,MIN6 cell CPA1 Ribo-seq,Insulinoma MIN6 cell,CPA 1 hour,Ribosome footprinting,GSM5322369
SRR14585401,65858205,9878730750,150,4224,SRX10932710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015499,SAMN19267580,simple,10090,Mus musculus,GSM5322370,GEO,SRA1234116,05,2021,Chen,MIN6 cell CPA18 mRNA-seq,MIN6 cell CPA18 mRNA-seq rep1,MIN6 cell CPA18 mRNA-seq,Insulinoma MIN6 cell,CPA 18 hours,,GSM5322370
SRR14585402,82104009,12315601350,150,5345,SRX10932711,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015500,SAMN19267579,simple,10090,Mus musculus,GSM5322371,GEO,SRA1234116,05,2021,Chen,MIN6 cell CPA18 Ribo-seq,MIN6 cell CPA18 Ribo-seq rep1,MIN6 cell CPA18 Ribo-seq,Insulinoma MIN6 cell,CPA 18 hours,Ribosome footprinting,GSM5322371
SRR14585403,26247590,3937138500,150,1729,SRX10932712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015501,SAMN19267578,simple,10090,Mus musculus,GSM5322372,GEO,SRA1234116,05,2021,Chen,MIN6 cell control mRNA-seq,MIN6 cell control mRNA-seq rep2,MIN6 cell control mRNA-seq,Insulinoma MIN6 cell,DMSO 18 hours,,GSM5322372
SRR14585404,26548753,3982312950,150,1969,SRX10932713,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015502,SAMN19267577,simple,10090,Mus musculus,GSM5322373,GEO,SRA1234116,05,2021,Chen,MIN6 cell control Ribo-seq,MIN6 cell control Ribo-seq rep2,MIN6 cell control Ribo-seq,Insulinoma MIN6 cell,DMSO 18 hours,Ribosome footprinting,GSM5322373
SRR14585405,40715634,6107345100,150,2639,SRX10932714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015503,SAMN19267576,simple,10090,Mus musculus,GSM5322374,GEO,SRA1234116,05,2021,Chen,MIN6 cell CPA1 mRNA-seq,MIN6 cell CPA1 mRNA-seq rep2,MIN6 cell CPA1 mRNA-seq,Insulinoma MIN6 cell,CPA 1 hour,,GSM5322374
SRR14585406,22785004,3417750600,150,1492,SRX10932715,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP320479,PRJNA731067,35941159,"",SRS9015504,SAMN19267575,simple,10090,Mus musculus,GSM5322375,GEO,SRA1234116,05,2021,Chen,MIN6 cell CPA1 Ribo-seq,MIN6 cell CPA1 Ribo-seq rep2,MIN6 cell CPA1 Ribo-seq,Insulinoma MIN6 cell,CPA 1 hour,Ribosome footprinting,GSM5322375
