Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,Stage,strain,cell line,cell type,treatment,GEO Accession
SRR16299899,4626983,462698300,100,153,SRX12578686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534524,SAMN22227790,simple,10090,Mus musculus,GSM5622920,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,Ribo-ITP-MII-2,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622920
SRR16299900,20048584,2004858400,100,649,SRX12578686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534524,SAMN22227790,simple,10090,Mus musculus,GSM5622920,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,Ribo-ITP-MII-2,4-cell Embryo,4-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622933
SRR16299923,37016714,3701671400,100,1152,SRX12578687,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534525,SAMN22227803,simple,10090,Mus musculus,GSM5622933,GEO,SRA1309682,02,2023,Ozadam,4-cell Embryo,Ribo-ITP-4cell-2,4-cell Embryo,4-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622934
SRR16299924,19415923,1941592300,100,620,SRX12578687,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534525,SAMN22227803,simple,10090,Mus musculus,GSM5622933,GEO,SRA1309682,02,2023,Ozadam,4-cell Embryo,Ribo-ITP-4cell-2,8-cell Embryo,8-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622935
SRR16299925,27456231,2745623100,100,845,SRX12578688,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534526,SAMN22227804,simple,10090,Mus musculus,GSM5622934,GEO,SRA1309682,02,2023,Ozadam,4-cell Embryo,Ribo-ITP-4cell-3,8-cell Embryo,8-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622936
SRR16299926,14671030,1467103000,100,465,SRX12578688,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534526,SAMN22227804,simple,10090,Mus musculus,GSM5622934,GEO,SRA1309682,02,2023,Ozadam,4-cell Embryo,Ribo-ITP-4cell-3,8-cell Embryo,8-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622937
SRR16299927,9675984,967598400,100,300,SRX12578689,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534527,SAMN22227773,simple,10090,Mus musculus,GSM5622935,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,Ribo-ITP-8cell-1,8-cell Embryo,8-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622938
SRR16299928,14078250,1407825000,100,448,SRX12578689,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534527,SAMN22227773,simple,10090,Mus musculus,GSM5622935,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,Ribo-ITP-8cell-1,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622939
SRR16299929,20669051,2066905100,100,641,SRX12578690,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534528,SAMN22227774,simple,10090,Mus musculus,GSM5622936,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,Ribo-ITP-8cell-2,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622940
SRR16299930,32633373,3263337300,100,1034,SRX12578690,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534528,SAMN22227774,simple,10090,Mus musculus,GSM5622936,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,Ribo-ITP-8cell-2,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622941
