Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genetic modification,genotype,growth condition,sample name,strain,Experimental Factor: genotype,Experimental Factor: protocol
ERR2681846,67361162,3435419262,51,1732,ERX2696677,new1_KO_riboseq_S2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596519,SAMEA4776570,simple,4932,Saccharomyces cerevisiae,SAMEA4776570,Postdoc,ERA1534224,11,2018,Makar,"",new1_KO_riboseq_S2,2018-11-10,2018-07-04,SAMEA4776570,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:04Z,public,E-MTAB-6963:new1_KO_riboseq_S2,ArrayExpress,baker's yeast,ribosome protected fragments 18-42nt,deletion,NEW1 knockout,20 degree celsius; synthetic complete medium,E-MTAB-6963:new1_KO_riboseq_S2,BY derivative,NEW1 knockout,Ribo-Seq
ERR2681847,80946528,4128272928,51,2076,ERX2696678,new1_KO_riboseq_S4_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596520,SAMEA4776571,simple,4932,Saccharomyces cerevisiae,SAMEA4776571,Postdoc,ERA1534224,11,2018,Makar,"",new1_KO_riboseq_S4,2018-11-10,2018-07-04,SAMEA4776571,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:06Z,public,E-MTAB-6963:new1_KO_riboseq_S4,ArrayExpress,baker's yeast,ribosome protected fragments 18-42nt,deletion,NEW1 knockout,20 degree celsius; synthetic complete medium,E-MTAB-6963:new1_KO_riboseq_S4,BY derivative,NEW1 knockout,Ribo-Seq
ERR2681848,69690799,3554230749,51,1790,ERX2696679,new1_KO_riboseq_S6_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596521,SAMEA4776572,simple,4932,Saccharomyces cerevisiae,SAMEA4776572,Postdoc,ERA1534224,11,2018,Makar,"",new1_KO_riboseq_S6,2018-11-10,2018-07-04,SAMEA4776572,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:09Z,public,E-MTAB-6963:new1_KO_riboseq_S6,ArrayExpress,baker's yeast,ribosome protected fragments 18-42nt,deletion,NEW1 knockout,20 degree celsius; synthetic complete medium,E-MTAB-6963:new1_KO_riboseq_S6,BY derivative,NEW1 knockout,Ribo-Seq
ERR2681849,68722759,3504860709,51,1754,ERX2696680,WT_riboseq_S1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596522,SAMEA4776573,simple,4932,Saccharomyces cerevisiae,SAMEA4776573,Postdoc,ERA1534224,11,2018,Makar,"",WT_riboseq_S1,2018-11-10,2018-07-04,SAMEA4776573,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:11Z,public,E-MTAB-6963:WT_riboseq_S1,ArrayExpress,baker's yeast,ribosome protected fragments 18-42nt,,wild type genotype,20 degree celsius; synthetic complete medium,E-MTAB-6963:WT_riboseq_S1,BY derivative,wild type genotype,Ribo-Seq
ERR2681850,85579580,4364558580,51,2203,ERX2696681,WT_riboseq_S3_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596523,SAMEA4776574,simple,4932,Saccharomyces cerevisiae,SAMEA4776574,Postdoc,ERA1534224,11,2018,Makar,"",WT_riboseq_S3,2018-11-10,2018-07-04,SAMEA4776574,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:12Z,public,E-MTAB-6963:WT_riboseq_S3,ArrayExpress,baker's yeast,ribosome protected fragments 18-42nt,,wild type genotype,20 degree celsius; synthetic complete medium,E-MTAB-6963:WT_riboseq_S3,BY derivative,wild type genotype,Ribo-Seq
ERR2681851,83078459,4237001409,51,2124,ERX2696682,WT_riboseq_S5_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596524,SAMEA4776575,simple,4932,Saccharomyces cerevisiae,SAMEA4776575,Postdoc,ERA1534224,11,2018,Makar,"",WT_riboseq_S5,2018-11-10,2018-07-04,SAMEA4776575,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:12Z,public,E-MTAB-6963:WT_riboseq_S5,ArrayExpress,baker's yeast,ribosome protected fragments 18-42nt,,wild type genotype,20 degree celsius; synthetic complete medium,E-MTAB-6963:WT_riboseq_S5,BY derivative,wild type genotype,Ribo-Seq
ERR2681852,24694922,1259441022,51,600,ERX2696683,new1_KO_RNAseq_S10_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596525,SAMEA4776576,simple,4932,Saccharomyces cerevisiae,SAMEA4776576,Postdoc,ERA1534224,11,2018,Makar,"",new1_KO_RNAseq_S10,2018-11-10,2018-07-04,SAMEA4776576,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:13Z,public,E-MTAB-6963:new1_KO_RNAseq_S10,ArrayExpress,baker's yeast,rRNA depleted total RNA,deletion,NEW1 knockout,20 degree celsius; synthetic complete medium,E-MTAB-6963:new1_KO_RNAseq_S10,BY derivative,NEW1 knockout,RNA-Seq
ERR2681853,27198724,1387134924,51,660,ERX2696684,new1_KO_RNAseq_S12_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596526,SAMEA4776577,simple,4932,Saccharomyces cerevisiae,SAMEA4776577,Postdoc,ERA1534224,11,2018,Makar,"",new1_KO_RNAseq_S12,2018-11-10,2018-07-04,SAMEA4776577,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:13Z,public,E-MTAB-6963:new1_KO_RNAseq_S12,ArrayExpress,baker's yeast,rRNA depleted total RNA,deletion,NEW1 knockout,20 degree celsius; synthetic complete medium,E-MTAB-6963:new1_KO_RNAseq_S12,BY derivative,NEW1 knockout,RNA-Seq
ERR2681854,42548074,2169951774,51,1054,ERX2696685,new1_KO_RNAseq_S8_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596527,SAMEA4776578,simple,4932,Saccharomyces cerevisiae,SAMEA4776578,Postdoc,ERA1534224,11,2018,Makar,"",new1_KO_RNAseq_S8,2018-11-10,2018-07-04,SAMEA4776578,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:13Z,public,E-MTAB-6963:new1_KO_RNAseq_S8,ArrayExpress,baker's yeast,rRNA depleted total RNA,deletion,NEW1 knockout,20 degree celsius; synthetic complete medium,E-MTAB-6963:new1_KO_RNAseq_S8,BY derivative,NEW1 knockout,RNA-Seq
ERR2681855,22479763,1146467913,51,546,ERX2696686,WT_RNAseq_S11_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP109708,PRJEB27604,1,"",ERS2596528,SAMEA4776579,simple,4932,Saccharomyces cerevisiae,SAMEA4776579,Postdoc,ERA1534224,11,2018,Makar,"",WT_RNAseq_S11,2018-11-10,2018-07-04,SAMEA4776579,Postdoc,Postdoc,2018-11-10T17:02:15Z,2018-07-04T09:44:14Z,public,E-MTAB-6963:WT_RNAseq_S11,ArrayExpress,baker's yeast,rRNA depleted total RNA,,wild type genotype,20 degree celsius; synthetic complete medium,E-MTAB-6963:WT_RNAseq_S11,BY derivative,wild type genotype,RNA-Seq
