Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell type,stress,fraction,GEO Accession
SRR12594201,27170397,1385690247,51,491,SRX9078261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325265,SAMN16063114,simple,10090,Mus musculus,GSM4769284,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq Normal Condition, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),Normal Condition,Ribosome associated RNA,GSM4769284
SRR12594202,25841693,1317926343,51,466,SRX9078262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325266,SAMN16063113,simple,10090,Mus musculus,GSM4769285,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 500 mOSM 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),500 mOSM 2h,Ribosome associated RNA,GSM4769285
SRR12594203,29002219,1479113169,51,526,SRX9078263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325267,SAMN16063112,simple,10090,Mus musculus,GSM4769286,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 600 mOSM 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),600 mOSM 2h,Ribosome associated RNA,GSM4769286
SRR12594204,27454577,1400183427,51,494,SRX9078264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325268,SAMN16063111,simple,10090,Mus musculus,GSM4769287,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 15min, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min,Ribosome associated RNA,GSM4769287
SRR12594205,26741698,1363826598,51,486,SRX9078265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325269,SAMN16063110,simple,10090,Mus musculus,GSM4769288,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h,Ribosome associated RNA,GSM4769288
SRR12594206,20900130,1065906630,51,380,SRX9078266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325270,SAMN16063109,simple,10090,Mus musculus,GSM4769289,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 15min Recovery 15min, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min Recovery 15min,Ribosome associated RNA,GSM4769289
SRR12594207,29801863,1519895013,51,536,SRX9078267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325271,SAMN16063108,simple,10090,Mus musculus,GSM4769290,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 15min Recovery 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min Recovery 2h,Ribosome associated RNA,GSM4769290
SRR12594208,31622713,1612758363,51,573,SRX9078268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325272,SAMN16063107,simple,10090,Mus musculus,GSM4769291,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 2h Recovery 15min, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h Recovery 15min,Ribosome associated RNA,GSM4769291
SRR12594209,27501271,1402564821,51,500,SRX9078269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325273,SAMN16063106,simple,10090,Mus musculus,GSM4769292,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 2h Recovery 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h Recovery 2h,Ribosome associated RNA,GSM4769292
SRR12594210,28109453,1433582103,51,533,SRX9078270,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325274,SAMN16063105,simple,10090,Mus musculus,GSM4769293,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq Normal Condition, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),Normal Condition,Ribosome associated RNA,GSM4769293
