Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,hla allele,GEO Accession
SRR10846525,79821019,4070871969,51,1383,SRX7517151,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956817,SAMN13750417,simple,9606,Homo sapiens,GSM4255693,GEO,SRA1021798,08,2020,Ouspenskaia,B721.221,B721.221_A0101,B721.221,B721.221,B-lymphoblastoid cell line,-,A0101,GSM4255693
SRR10846526,512473255,25623662750,50,7720,SRX7517151,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956817,SAMN13750417,simple,9606,Homo sapiens,GSM4255693,GEO,SRA1021798,08,2020,Ouspenskaia,B721.221,B721.221_A0101,B721.221,B721.221,B-lymphoblastoid cell line,-,A3303,GSM4255694
SRR10846527,180141791,9187231341,51,2829,SRX7517152,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956818,SAMN13750416,simple,9606,Homo sapiens,GSM4255694,GEO,SRA1021798,08,2020,Ouspenskaia,B721.221,B721.221_A3303,B721.221,B721.221,B-lymphoblastoid cell line,-,B1501,GSM4255695
SRR10846528,99732044,5086334244,51,1722,SRX7517153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956819,SAMN13750415,simple,9606,Homo sapiens,GSM4255695,GEO,SRA1021798,08,2020,Ouspenskaia,B721.221,B721.221_B1501,B721.221,B721.221,B-lymphoblastoid cell line,-,B4402,GSM4255696
SRR10846529,798320745,39916037250,50,11896,SRX7517153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956819,SAMN13750415,simple,9606,Homo sapiens,GSM4255695,GEO,SRA1021798,08,2020,Ouspenskaia,B721.221,B721.221_B1501,A375,A375,malignant melanoma cell line,-,,GSM4255697
SRR10846530,101035068,5152788468,51,1736,SRX7517154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956820,SAMN13750414,simple,9606,Homo sapiens,GSM4255696,GEO,SRA1021798,08,2020,Ouspenskaia,B721.221,B721.221_B4402,HCT116,HCT116,colorectal carcinoma cell line,"cycloheximide 10 minutes, 0.1mg/ml",,GSM4255698
SRR10846531,431215388,21560769400,50,6472,SRX7517154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956820,SAMN13750414,simple,9606,Homo sapiens,GSM4255696,GEO,SRA1021798,08,2020,Ouspenskaia,B721.221,B721.221_B4402,HCT116,HCT116,colorectal carcinoma cell line,-,,GSM4255699
SRR10846532,102208019,5212608969,51,1924,SRX7517155,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956821,SAMN13750413,simple,9606,Homo sapiens,GSM4255697,GEO,SRA1021798,08,2020,Ouspenskaia,A375,A375,Hmel,Hmel,"Epidermal Melanocytes, neonatal","cycloheximide 5 minutes, 0.1mg/ml",,GSM4255700
SRR10846533,139169357,7097637207,51,2358,SRX7517156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956822,SAMN13750412,simple,9606,Homo sapiens,GSM4255698,GEO,SRA1021798,08,2020,Ouspenskaia,HCT116,HCT116_CHX+,Hmel,Hmel,"Epidermal Melanocytes, neonatal","cycloheximide 5 minutes, 0.1mg/ml",,GSM4255701
SRR10846534,136601505,6966676755,51,2370,SRX7517157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956823,SAMN13750411,simple,9606,Homo sapiens,GSM4255699,GEO,SRA1021798,08,2020,Ouspenskaia,HCT116,HCT116_CHX-,Hmel,Hmel,"Epidermal Melanocytes, neonatal","cycloheximide 5 minutes, 0.1mg/ml",,GSM4255702
SRR10846535,45637581,2327516631,51,828,SRX7517158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956824,SAMN13750410,simple,9606,Homo sapiens,GSM4255700,GEO,SRA1021798,08,2020,Ouspenskaia,Hmel,Hmel_rep1,B721.221,B721.221,B-lymphoblastoid cell line,-,A0101,GSM4255693
SRR10846536,125690938,6284546900,50,1950,SRX7517158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956824,SAMN13750410,simple,9606,Homo sapiens,GSM4255700,GEO,SRA1021798,08,2020,Ouspenskaia,Hmel,Hmel_rep1,B721.221,B721.221,B-lymphoblastoid cell line,-,A3303,GSM4255694
SRR10846537,21506133,1096812783,51,415,SRX7517158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956824,SAMN13750410,simple,9606,Homo sapiens,GSM4255700,GEO,SRA1021798,08,2020,Ouspenskaia,Hmel,Hmel_rep1,B721.221,B721.221,B-lymphoblastoid cell line,-,B1501,GSM4255695
SRR10846538,55999838,2855991738,51,1022,SRX7517159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956825,SAMN13750409,simple,9606,Homo sapiens,GSM4255701,GEO,SRA1021798,08,2020,Ouspenskaia,Hmel,Hmel_rep2,B721.221,B721.221,B-lymphoblastoid cell line,-,B4402,GSM4255696
SRR10846539,420942531,21047126550,50,6384,SRX7517159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956825,SAMN13750409,simple,9606,Homo sapiens,GSM4255701,GEO,SRA1021798,08,2020,Ouspenskaia,Hmel,Hmel_rep2,A375,A375,malignant melanoma cell line,-,,GSM4255697
SRR10846540,85226212,4346536812,51,1654,SRX7517159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956825,SAMN13750409,simple,9606,Homo sapiens,GSM4255701,GEO,SRA1021798,08,2020,Ouspenskaia,Hmel,Hmel_rep2,HCT116,HCT116,colorectal carcinoma cell line,"cycloheximide 10 minutes, 0.1mg/ml",,GSM4255698
SRR10846541,65522071,3341625621,51,1181,SRX7517160,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239882,PRJNA599422,34663921,"",SRS5956826,SAMN13750408,simple,9606,Homo sapiens,GSM4255702,GEO,SRA1021798,08,2020,Ouspenskaia,Hmel,Hmel_rep3,HCT116,HCT116,colorectal carcinoma cell line,-,,GSM4255699
