Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Stage,tissue origin,GEO Accession
SRR1013469,34936599,3528596499,101,2377,SRX365481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491860,SAMN02378260,simple,10090,Mus musculus,GSM1245211,GEO,SRA107313,08,2014,Gonzalez,normal brain,Normal Homogenate RNA-Seq A,normal brain,normal brain,n/a,,GSM1245211
SRR1013470,34309497,3465259197,101,2337,SRX365482,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491861,SAMN02378247,simple,10090,Mus musculus,GSM1245212,GEO,SRA107313,08,2014,Gonzalez,normal brain,Normal Homogenate RNA-Seq B,normal brain,normal brain,n/a,,GSM1245212
SRR1013471,34850762,3519926962,101,2365,SRX365483,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491862,SAMN02378251,simple,10090,Mus musculus,GSM1245213,GEO,SRA107313,08,2014,Gonzalez,normal brain,Normal Homogenate RNA-Seq C,normal brain,normal brain,n/a,,GSM1245213
SRR1013472,5784304,584214704,101,334,SRX365484,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491863,SAMN02378252,simple,10090,Mus musculus,GSM1245214,GEO,SRA107313,08,2014,Gonzalez,normal brain,Normal Homogenate Profiling  A,normal brain,normal brain,n/a,,GSM1245214
SRR1013473,47717340,4793119227,100,3039,SRX365485,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491864,SAMN02378249,simple,10090,Mus musculus,GSM1245215,GEO,SRA107313,08,2014,Gonzalez,normal brain,Normal Homogenate Profiling B,normal brain,normal brain,n/a,,GSM1245215
SRR1013474,28502225,2860362072,100,1916,SRX365486,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491865,SAMN02378256,simple,10090,Mus musculus,GSM1245216,GEO,SRA107313,08,2014,Gonzalez,normal brain,Normal Homogenate Profiling C,normal brain,normal brain,n/a,,GSM1245216
SRR1013475,38489151,3887404251,101,2585,SRX365487,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491866,SAMN02378254,simple,10090,Mus musculus,GSM1245217,GEO,SRA107313,07,2015,Gonzalez,tumor,Tumor Homogenate RNA-Seq A,tumor,PDGF/Cre tumor,end-stage,,GSM1245217
SRR1013476,30550627,3085613327,101,1974,SRX365488,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491867,SAMN02378246,simple,10090,Mus musculus,GSM1245218,GEO,SRA107313,08,2014,Gonzalez,tumor,Tumor Homogenate RNA-Seq B,tumor,PDGF/Cre tumor,end-stage,,GSM1245218
SRR1013477,33255284,3358783684,101,2152,SRX365489,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491869,SAMN02378253,simple,10090,Mus musculus,GSM1245219,GEO,SRA107313,08,2014,Gonzalez,tumor,Tumor Homogenate RNA-Seq C,tumor,PDGF/Cre tumor,end-stage,,GSM1245219
SRR1013478,7187292,725916492,101,452,SRX365490,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491868,SAMN02378257,simple,10090,Mus musculus,GSM1245220,GEO,SRA107313,08,2014,Gonzalez,tumor,Tumor RiboTag Profiling A,tumor,PDGF/Cre tumor,end-stage,,GSM1245220
