Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,condition,time point,GEO Accession
SRR5331664,41347455,4206835416,50,2915,SRX2630491,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040109,SAMN06556234,simple,10090,Mus musculus,GSM2527985,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,WT_Th1_4h_1,CD4+ T-cells,C57BL/6J,WT,Th1,4 hours,GSM2527985
SRR5331665,54745250,5537707664,50,3942,SRX2630492,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040110,SAMN06556233,simple,10090,Mus musculus,GSM2527986,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,WT_Th1_4h_2,CD4+ T-cells,C57BL/6J,WT,Th1,4 hours,GSM2527986
SRR5331666,26503882,2680404860,50,1919,SRX2630493,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040111,SAMN06556232,simple,10090,Mus musculus,GSM2527987,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,WT_Th1_4h_3,CD4+ T-cells,C57BL/6J,WT,Th1,4 hours,GSM2527987
SRR5331667,46472919,4647291900,50,2200,SRX2630494,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040112,SAMN06556231,simple,10090,Mus musculus,GSM2527988,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,WT_Th1_4h_4,CD4+ T-cells,C57BL/6J,WT,Th1,4 hours,GSM2527988
SRR5331668,74258410,7516404868,50,5299,SRX2630495,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040113,SAMN06556230,simple,10090,Mus musculus,GSM2527989,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,ZFP36_KO_Th1_4h_1,CD4+ T-cells,C57BL/6J,Zfp36 KO,Th1,4 hours,GSM2527989
SRR5331669,37607950,3812535820,50,2665,SRX2630496,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040114,SAMN06556229,simple,10090,Mus musculus,GSM2527990,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,ZFP36_KO_Th1_4h_2,CD4+ T-cells,C57BL/6J,Zfp36 KO,Th1,4 hours,GSM2527990
SRR5331670,41736501,4173650100,50,1986,SRX2630497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040115,SAMN06556228,simple,10090,Mus musculus,GSM2527991,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,ZFP36_KO_Th1_4h_3,CD4+ T-cells,C57BL/6J,Zfp36 KO,Th1,4 hours,GSM2527991
SRR5331671,48506399,4850639900,50,2287,SRX2630498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040116,SAMN06556227,simple,10090,Mus musculus,GSM2527992,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,ZFP36_KO_Th1_4h_4,CD4+ T-cells,C57BL/6J,Zfp36 KO,Th1,4 hours,GSM2527992
SRR5331672,29900844,3024023044,50,2011,SRX2630499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040117,SAMN06556226,simple,10090,Mus musculus,GSM2527993,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,WT_Th1_3d_1,CD4+ T-cells,C57BL/6J,WT,Th1,3 days,GSM2527993
SRR5331673,51251221,5161774528,50,3433,SRX2630500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040118,SAMN06556225,simple,10090,Mus musculus,GSM2527994,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,WT_Th1_3d_2,CD4+ T-cells,C57BL/6J,WT,Th1,3 days,GSM2527994
