Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,temperature shift to,molecule subtype,GEO Accession
SRR3591804,35715967,1785798350,50,1059,SRX1802175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468727,SAMN05180507,simple,4932,Saccharomyces cerevisiae,GSM2178815,GEO,SRA429424,05,2016,Sen,ribo_wild-type_37 deg,ribo_wild-type replicate 1_37 deg,ribo_wild-type_37 deg,FJZ46,wild-type TIF3,37°C,Ribosome-protected RNA,GSM2178815
SRR3591805,36965332,1848266600,50,1110,SRX1802176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468728,SAMN05180508,simple,4932,Saccharomyces cerevisiae,GSM2178816,GEO,SRA429424,05,2016,Sen,ribo_wild-type_37 deg,ribo_wild-type replicate 2_37 deg,ribo_wild-type_37 deg,FJZ46,wild-type TIF3,37°C,Ribosome-protected RNA,GSM2178816
SRR3591806,35758954,1787947700,50,1074,SRX1802177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468729,SAMN05180509,simple,4932,Saccharomyces cerevisiae,GSM2178817,GEO,SRA429424,05,2016,Sen,ribo_tif3Δ_37 deg,ribo_tif3delta replicate 1_37 deg,ribo_tif3Δ_37 deg,FJZ52,tif3 delta mutant,37°C,Ribosome-protected RNA,GSM2178817
SRR3591807,34179565,1708978250,50,1011,SRX1802178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468730,SAMN05180510,simple,4932,Saccharomyces cerevisiae,GSM2178818,GEO,SRA429424,05,2016,Sen,ribo_tif3Δ_37 deg,ribo_tif3delta replicate 2_37 deg,ribo_tif3Δ_37 deg,FJZ52,tif3 delta mutant,37°C,Ribosome-protected RNA,GSM2178818
SRR3591808,24352107,1217605350,50,765,SRX1802179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468731,SAMN05180511,simple,4932,Saccharomyces cerevisiae,GSM2178819,GEO,SRA429424,05,2016,Sen,mRNA_wild-type_37 deg,mRNA_wild-type replicate 1_37 deg,mRNA_wild-type_37 deg,FJZ46,wild-type TIF3,37°C,mRNA,GSM2178819
SRR3591809,22291628,1114581400,50,687,SRX1802180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468732,SAMN05180512,simple,4932,Saccharomyces cerevisiae,GSM2178820,GEO,SRA429424,05,2016,Sen,mRNA_wild-type_37 deg,mRNA_wild-type replicate 2_37 deg,mRNA_wild-type_37 deg,FJZ46,wild-type TIF3,37°C,mRNA,GSM2178820
SRR3591810,26484180,1324209000,50,836,SRX1802181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468733,SAMN05180513,simple,4932,Saccharomyces cerevisiae,GSM2178821,GEO,SRA429424,05,2016,Sen,mRNA_tif3Δ_37 deg,mRNA_tif3delta replicate 1_37 deg,mRNA_tif3Δ_37 deg,FJZ52,tif3 delta mutant,37°C,mRNA,GSM2178821
SRR3591811,29471579,1473578950,50,906,SRX1802182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468734,SAMN05180514,simple,4932,Saccharomyces cerevisiae,GSM2178822,GEO,SRA429424,05,2016,Sen,mRNA_tif3Δ_37 deg,mRNA_tif3delta replicate 2_37 deg,mRNA_tif3Δ_37 deg,FJZ52,tif3 delta mutant,37°C,mRNA,GSM2178822
SRR3591812,22280204,1136290404,51,670,SRX1802183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468735,SAMN05180515,simple,4932,Saccharomyces cerevisiae,GSM2178823,GEO,SRA429424,05,2016,Sen,ribo_wild-type_15 deg,ribo_wild-type replicate 1_15 deg,ribo_wild-type_15 deg,FJZ46,wild-type TIF3,15°C,Ribosome-protected RNA,GSM2178823
SRR3591813,32388364,1651806564,51,943,SRX1802184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468736,SAMN05180516,simple,4932,Saccharomyces cerevisiae,GSM2178824,GEO,SRA429424,05,2016,Sen,ribo_wild-type_15 deg,ribo_wild-type replicate 2_15 deg,ribo_wild-type_15 deg,FJZ46,wild-type TIF3,15°C,Ribosome-protected RNA,GSM2178824
SRR3591814,14832781,756471831,51,436,SRX1802185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468737,SAMN05180517,simple,4932,Saccharomyces cerevisiae,GSM2178825,GEO,SRA429424,05,2016,Sen,ribo_tif3Δ_15 deg,ribo_tif3delta replicate 1_15 deg,ribo_tif3Δ_15 deg,FJZ52,tif3 delta mutant,15°C,Ribosome-protected RNA,GSM2178825
SRR3591815,23385198,1192645098,51,692,SRX1802186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468738,SAMN05180518,simple,4932,Saccharomyces cerevisiae,GSM2178826,GEO,SRA429424,05,2016,Sen,ribo_tif3Δ_15 deg,ribo_tif3delta replicate 2_15 deg,ribo_tif3Δ_15 deg,FJZ52,tif3 delta mutant,15°C,Ribosome-protected RNA,GSM2178826
SRR3591816,23693921,1208389971,51,703,SRX1802187,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468739,SAMN05180519,simple,4932,Saccharomyces cerevisiae,GSM2178827,GEO,SRA429424,05,2016,Sen,mRNA_wild-type_15 deg,mRNA_wild-type replicate 1_15 deg,mRNA_wild-type_15 deg,FJZ46,wild-type TIF3,15°C,mRNA,GSM2178827
SRR3591817,22584359,1151802309,51,673,SRX1802188,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468740,SAMN05180520,simple,4932,Saccharomyces cerevisiae,GSM2178828,GEO,SRA429424,05,2016,Sen,mRNA_wild-type_15 deg,mRNA_wild-type replicate 2_15 deg,mRNA_wild-type_15 deg,FJZ46,wild-type TIF3,15°C,mRNA,GSM2178828
SRR3591818,43844983,2236094133,51,1304,SRX1802189,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468741,SAMN05180521,simple,4932,Saccharomyces cerevisiae,GSM2178829,GEO,SRA429424,05,2016,Sen,mRNA_tif3Δ_15 deg,mRNA_tif3delta replicate 1_15 deg,mRNA_tif3Δ_15 deg,FJZ52,tif3 delta mutant,15°C,mRNA,GSM2178829
SRR3591819,32469767,1655958117,51,978,SRX1802190,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075785,PRJNA323510,27601676,"",SRS1468742,SAMN05180522,simple,4932,Saccharomyces cerevisiae,GSM2178830,GEO,SRA429424,05,2016,Sen,mRNA_tif3Δ_15 deg,mRNA_tif3delta replicate 2_15 deg,mRNA_tif3Δ_15 deg,FJZ52,tif3 delta mutant,15°C,mRNA,GSM2178830
